Healthy,Infected,Convalescent,Dead
1024,0,0,0
1024,0,0,0
1024,0,0,0
1024,0,0,0
1024,0,0,0
1024,0,0,0
1019,5,0,0
1016,8,0,0
1011,12,0,1
998,25,0,1
989,34,0,1
977,46,0,1
974,49,0,1
959,62,2,1
952,64,7,1
940,73,10,1
932,77,14,1
927,77,19,1
921,80,22,1
912,82,29,1
902,85,36,1
894,83,46,1
878,93,52,1
870,92,61,1
857,96,70,1
845,101,77,1
836,106,81,1
827,111,85,1
817,108,98,1
808,106,109,1
798,108,117,1
793,100,130,1
781,101,141,1
775,98,150,1
768,99,156,1
754,97,172,1
747,95,181,1
741,94,188,1
733,96,194,1
729,89,205,1
725,83,215,1
719,81,223,1
714,79,230,1
706,68,249,1
699,66,258,1
693,68,262,1
686,66,271,1
680,64,279,1
674,65,284,1
669,63,291,1
659,67,297,1
656,66,301,1
650,68,305,1
642,72,309,1
633,74,316,1
625,74,324,1
616,78,329,1
614,71,338,1
607,72,344,1
604,68,351,1
598,67,358,1
592,64,367,1
588,62,373,1
587,53,383,1
579,54,390,1
570,60,393,1
563,63,397,1
557,61,404,2
552,63,407,2
545,66,411,2
538,67,417,2
533,64,425,2
529,60,433,2
523,64,435,2
514,65,443,2
508,66,448,2
499,66,457,2
496,64,462,2
495,63,464,2
486,64,472,2
482,65,475,2
478,61,483,2
468,64,490,2
462,62,498,2
454,64,504,2
443,72,507,2
442,67,513,2
431,74,517,2
427,75,520,2
424,72,526,2
418,70,534,2
412,69,541,2
408,65,549,2
403,61,558,2
402,59,561,2
399,56,567,2
399,46,577,2
393,49,580,2
390,42,589,3
385,38,598,3
382,38,601,3
382,32,607,3
377,34,610,3
373,36,612,3
370,34,617,3
368,34,619,3
367,33,621,3
365,30,626,3
362,28,630,4
362,23,635,4
360,21,639,4
358,21,641,4
355,22,643,4
354,21,645,4
351,22,647,4
347,24,649,4
346,23,651,4
343,22,655,4
340,23,657,4
339,23,658,4
334,27,659,4
334,24,662,4
331,26,663,4
330,25,665,4
330,22,668,4
329,19,672,4
325,22,673,4
323,20,677,4
318,24,678,4
318,18,684,4
316,19,685,4
313,22,685,4
310,24,686,4
307,23,690,4
304,26,690,4
299,29,692,4
296,27,697,4
294,28,698,4
294,28,698,4
293,25,702,4
292,25,703,4
290,26,704,4
288,27,705,4
287,25,708,4
286,23,711,4
284,19,717,4
282,20,718,4
280,21,719,4
277,20,723,4
276,18,726,4
274,18,728,4
271,19,730,4
270,17,733,4
268,18,734,4
267,19,734,4
265,19,736,4
262,20,738,4
258,23,739,4
258,21,741,4
253,23,744,4
251,24,745,4
247,27,746,4
245,28,747,4
243,28,749,4
241,29,750,4
240,26,754,4
239,27,754,4
237,26,757,4
235,27,758,4
233,27,760,4
231,25,764,4
231,19,770,4
228,21,771,4
228,20,772,4
225,19,776,4
225,16,779,4
225,15,780,4
221,17,782,4
219,16,784,5
218,14,786,6
217,15,786,6
216,15,787,6
216,15,787,6
216,14,788,6
214,14,790,6
212,16,790,6
211,15,792,6
207,17,794,6
205,18,795,6
205,16,797,6
203,16,799,6
202,16,800,6
200,17,801,6
199,17,802,6
196,18,804,6
194,18,806,6
192,20,806,6
191,21,806,6
190,21,807,6
189,20,809,6
189,19,810,6
188,18,812,6
185,17,816,6
183,18,817,6
183,17,818,6
182,15,821,6
182,12,824,6
182,10,826,6
180,11,827,6
179,11,828,6
179,9,830,6
179,9,830,6
178,9,831,6
175,11,832,6
174,12,832,6
172,13,833,6
171,14,833,6
170,11,836,7
170,10,837,7
168,12,837,7
167,13,837,7
165,13,839,7
165,11,841,7
164,11,842,7
164,11,842,7
164,11,842,7
164,10,843,7
163,11,843,7
162,10,845,7
160,11,846,7
158,12,847,7
158,10,849,7
158,10,849,7
158,9,850,7
158,7,852,7
158,6,853,7
156,8,853,7
155,9,853,7
154,10,853,7
154,6,857,7
154,6,857,7
152,7,858,7
151,8,858,7
151,6,860,7
151,5,861,7
151,5,861,7
150,6,861,7
150,6,861,7
